HMDB,Name,CR,CR,CR,CR,CR,CR,CR,CR,CR,CR,CR,TF,TF,TF,TF,TF,TF,TF
na,C4H8O3(3),125109962.9,193086684.3,92695553.13,219297844.5,104811580.6,84981689.31,182994480.8,158361674.1,210172229.3,144315692.7,69773664.84,152045327.9,103889261.7,154795360.7,119834254.7,245295632.5,147021701.6,114941798.7
HMDB00076,"5,6-dihydrouracil/L-3-Cyanoalanine",11939848.39,12187849.22,13666511.4,12775370.35,12073874.54,16147078.02,12857038.94,13983534.42,13899335.89,17959896.82,15656089.83,11603589.67,12115575.02,17816712.96,15770984.03,13455209.95,15425175.56,17574141.44
HMDB00267,5-oxoproline/L-1-Pyrroline-3-hydroxy-5-carboxylate,617329003,690126795.8,410059216.7,464882911.6,301815102.9,509830068.4,608711037.8,654550034.8,1442664123,1173487414,716428229.1,378647406.4,329445690.6,407603585.6,881511414.2,960579030.1,1907779153,724866597.5
HMDB02092,itaconate/Mesaconate,32365697.62,45372555.27,42702268.31,46077162.13,42500728.37,73212770.56,48891109.65,38507307.32,85090931.58,38784030.28,24634512.08,38505847.57,78284564.92,46790507.81,46697309.69,114115492.4,37677730.69,34234593.75
HMDB06556,L-4-hydroxyglutamate semialdehyde,610285637.5,773531878.9,604168012.3,362064328.5,271905794.3,234134800.6,1159384307,1177872589,485502360,739757829.6,283725181.6,91982110.29,189055396.4,198435605.9,870653597.1,762234262,1643613015,897003497.4
NA,C5H10O5(6),97610597.65,77806489.65,80974044.69,138596141.7,77562345.56,84646959.74,112920243.2,177408437.8,56823239.27,31204435.75,62517811.67,118301569.5,92897570.47,78145975.64,71830389.87,168302650.4,89002960.16,104600196.4
NA,L-arabinitol/xylitol/D-ribitol,39391978.98,42481835.45,35226104.17,26835663.51,21660534.91,26153030.76,60955459.03,34420548.23,28806544.37,32038554.55,20707375.53,43769170.64,25967883.53,36367158.76,25040993.37,28968555.1,35368825.47,43622907.26
HMDB60256,L-xylonate/L-lyxonate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HMDB01031,2-deoxy-D-ribose 5-phosphate/2-Deoxy-D-ribose 1-phosphate,134009.298,338179.596,205566.264,303383.025,225227.88,135117.771,123879.108,520792.155,44002.881,17179.344,158309.37,278434.998,248538.057,95548.167,148418.562,327140.601,324478.242,121232.973
HMDB01548,ribose-phosphate,2352738.918,2620103.484,3603672.579,2176608.621,608449.026,1131495.39,2776064.892,611079.849,2414279.343,649454.994,8005190.103,1229207.175,877465.584,10084747.45,9134957.418,1670624.511,295489.002,1637967.711
HMDB00491,3-methyl-2-oxopentanoate/4-methyl-2-oxopentanoate(ketoleucine),3054635929,2146380226,2263343807,3475851549,2630238857,2479265265,2879255429,1453604885,2728836897,1534562620,1603095938,1892083208,2551844479,2585234362,1896834339,2031639814,1719109474,1541629462
HMDB00510,L-2-aminoadipate,30908085.89,38549694.22,28459876.48,26489569.81,27241508.54,21834353.87,71674083.47,27586181.82,29024416.32,27383491.3,22520063.39,48489102.92,24522596.08,44085378.02,30163244.84,34011816.31,29738935.22,28017063.35
HMDB00174,L-fucose/L-Fuculose,28304521.81,12966863.02,18638958.24,15458382.84,13785950.35,18835174.4,18595402.84,17767560.86,13029223.72,17981118.07,13814311.84,27203824.49,15689890.12,14508557.23,11416043.27,13118401.02,26588713.87,13943505.34
HMDB00854,N-Formimidoyl-L-glutamate,3487684.284,2277166.041,1989410.478,3170805.567,2926504.245,5395983.282,3233138.469,3315916.158,2844162.426,2457939.519,2783006.433,3436704.918,2854855.506,3018198.627,1948113.528,3116051.4,3114166.797,2714195.043
HMDB00812,N-acetyl-L-aspartate/2-Amino-3-oxoadipate,17368932.9,77450937.03,49903221.79,16713242.39,13275959.91,18419919.32,56186507.33,18084492.14,23261220.12,15992496.09,21158356.1,16816628.77,18364686.87,15012746.75,64230435.93,15751918.15,18579100.5,25276841.27
